team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Brazil,0.99285,0.76469,0.57972,0.4133,0.26602,0.17341
Spain,0.98573,0.69447,0.47796,0.33212,0.21096,0.12463
Argentina,0.98136,0.61522,0.4575,0.30741,0.18475,0.11032
Germany,0.99372,0.75049,0.43972,0.28168,0.14895,0.07522
France,0.96066,0.68701,0.40849,0.26061,0.14275,0.07345
England,0.95155,0.64541,0.42336,0.22782,0.12489,0.06535
Belgium,0.97236,0.72109,0.48061,0.24421,0.13444,0.06482
Portugal,0.95178,0.64747,0.4032,0.2209,0.11671,0.05795
Colombia,0.94213,0.62784,0.38461,0.21386,0.11317,0.0567
Netherlands,0.90414,0.51097,0.34321,0.18128,0.08842,0.03984
Uruguay,0.93731,0.49381,0.29655,0.16371,0.08074,0.03578
Croatia,0.87034,0.45889,0.23418,0.10422,0.0446,0.01783
Ecuador,0.93461,0.52472,0.22208,0.10233,0.0402,0.01511
Switzerland,0.92154,0.56031,0.2527,0.10328,0.04069,0.01474
Morocco,0.83316,0.37878,0.19798,0.08181,0.03037,0.01002
Sweden,0.72432,0.29956,0.14866,0.05859,0.02118,0.0069
Mexico,0.89074,0.51499,0.20951,0.07139,0.02362,0.00687
United States,0.76554,0.39811,0.12364,0.04549,0.01661,0.0048
Austria,0.78499,0.26409,0.11566,0.04293,0.01473,0.00451
Iran,0.77873,0.38337,0.13862,0.04676,0.01467,0.00446
Senegal,0.72573,0.32076,0.11345,0.04201,0.0141,0.00417
Turkey,0.71095,0.34292,0.12257,0.04172,0.01365,0.004
Norway,0.72511,0.31663,0.11018,0.04073,0.01294,0.00391
Japan,0.64591,0.24138,0.10859,0.03826,0.01242,0.00361
Czech Republic,0.71283,0.33413,0.12464,0.03854,0.01113,0.00319
Ivory Coast,0.81984,0.34715,0.11623,0.03601,0.01052,0.00291
Paraguay,0.65528,0.29259,0.09817,0.03236,0.01021,0.00266
Egypt,0.71074,0.31315,0.0971,0.0287,0.00839,0.00208
Scotland,0.68882,0.23748,0.09592,0.0296,0.00796,0.00197
Australia,0.61463,0.25887,0.08033,0.02445,0.00699,0.00184
South Korea,0.6316,0.26621,0.09147,0.02574,0.00658,0.00152
Algeria,0.64919,0.18388,0.06781,0.01954,0.00569,0.00131
Bosnia and Herzegovina,0.7088,0.29338,0.08825,0.02273,0.00546,0.00123
Canada,0.77123,0.31191,0.08291,0.01956,0.0039,0.00073
Ghana,0.5095,0.14327,0.04675,0.0122,0.00275,0.0007
Tunisia,0.43245,0.1302,0.04436,0.01186,0.00292,0.00068
South Africa,0.46455,0.15816,0.04582,0.01007,0.00225,0.00038
Uzbekistan,0.36425,0.0906,0.02454,0.00504,0.00095,0.00014
Saudi Arabia,0.2954,0.05555,0.01417,0.00248,0.00043,0.00011
DR Congo,0.33307,0.07822,0.02058,0.00384,0.00079,0.00008
Panama,0.31325,0.06361,0.01619,0.00284,0.00048,0.00004
Cape Verde,0.29177,0.05608,0.01438,0.00249,0.00037,0.00002
Iraq,0.25724,0.05689,0.01046,0.00177,0.0002,0.00001
Curaçao,0.03216,0.00244,0.00017,0.0,0.0,0.0
Haiti,0.12801,0.0154,0.00241,0.00013,0.00001,0.0
Jordan,0.22552,0.03482,0.00739,0.00124,0.00017,0.0
New Zealand,0.18932,0.03808,0.00475,0.00064,0.0001,0.0
Qatar,0.31529,0.07495,0.01245,0.00175,0.00017,0.0
